amount,senderVpa,receiverVpa,location,timestamp,hour_of_day,is_night,is_round_amount,vpa_domain_match,amount_log,velocity_score,location_risk_score,amount_zscore,label
9053.0,user313@upi,user173@upi,Mumbai,2026-04-11T20:42:38.785905Z,20,0.0,0.0,1.0,9.110961927995904,6,0.1,-0.396296665063861,0
6252.0,user159@upi,user117@upi,Hyderabad,2026-04-04T12:42:38.738843Z,12,0.0,0.0,1.0,8.740816627567298,0,0.1,0.3205747978734589,0
470000.0,fraud82@okaxis,victim8@upi,Foreign,2026-04-09T02:42:38.798542Z,2,1.0,1.0,0.0,13.060490101343552,10,1.0,6.135855105455638,1
2369.0,user251@upi,user335@upi,Unknown,2026-04-21T15:42:38.693436Z,15,0.0,0.0,1.0,7.7706452341291765,2,1.0,-0.4312974597213878,0
10473.0,user96@upi,user399@upi,Ahmedabad,2026-04-21T04:42:38.735007Z,4,1.0,0.0,1.0,9.256651274839433,2,0.1,0.8127104115437569,0
6788.0,user274@upi,user127@upi,Mumbai,2026-04-03T17:42:38.740662Z,17,0.0,0.0,1.0,8.823058934301647,2,0.1,0.04773463205363815,0
531.0,user336@upi,user464@upi,Hyderabad,2026-04-13T16:42:38.709047Z,16,0.0,0.0,1.0,6.2766434893416445,8,0.1,0.061391890177819985,0
74714.0,user307@upi,user115@upi,Hyderabad,2026-04-03T09:42:38.716987Z,9,0.0,0.0,1.0,11.221436154175494,0,0.1,0.8617642588640275,0
14584.0,user499@upi,user444@upi,Delhi,2026-04-07T14:42:38.717956Z,14,0.0,0.0,1.0,9.587748882301822,1,0.1,0.017742757773753892,0
11513.0,user417@upi,user86@upi,Hyderabad,2026-03-29T19:42:38.702785Z,19,0.0,0.0,1.0,9.351318965235755,2,0.1,0.5705834614671468,0
13796.0,user424@upi,user286@upi,Mumbai,2026-04-10T08:42:38.691697Z,8,0.0,0.0,1.0,9.532206456208034,2,0.1,0.9015571306302477,0
9219.0,user166@upi,user252@upi,Ahmedabad,2026-03-28T20:42:38.721990Z,20,0.0,0.0,1.0,9.12913031655064,0,0.1,0.8359961794410133,0
287595.0,fraud458@ybl,victim34@okaxis,Unknown,2026-04-14T00:42:38.795731Z,0,1.0,0.0,0.0,12.569311996526467,13,1.0,7.151948970173274,1
14132.0,user165@upi,user100@upi,Delhi,2026-04-16T10:42:38.740072Z,10,0.0,0.0,1.0,9.556267767368151,1,0.1,-0.470243446113437,0
4416.0,user98@upi,user407@upi,Delhi,2026-04-05T08:42:38.740654Z,8,0.0,0.0,1.0,8.393216011596527,2,0.1,-0.4025621600246138,0
8066.0,user239@upi,user444@upi,Mumbai,2026-04-12T10:42:38.743447Z,10,0.0,0.0,1.0,8.995536944936974,2,0.1,0.49035225154202244,0
14458.0,user156@upi,user286@upi,Pune,2026-03-28T11:42:38.748459Z,11,0.0,0.0,1.0,9.579072337028126,0,0.1,-0.23262159298945545,0
12876.0,user23@upi,user185@upi,Bangalore,2026-04-05T21:42:38.783051Z,21,0.0,0.0,1.0,9.463198053273784,1,0.1,-0.24036670264366095,0
185000.0,fraud84@okaxis,victim32@ybl,Foreign,2026-03-28T02:42:38.794676Z,2,1.0,1.0,0.0,12.128116509451258,12,1.0,4.8788229486253645,1
13848.0,user251@upi,user87@upi,Chennai,2026-04-24T19:42:38.729536Z,19,0.0,0.0,1.0,9.535968306842717,2,0.1,0.8760344619654641,0
11909.0,user64@upi,user28@upi,Delhi,2026-04-04T18:42:38.703333Z,18,0.0,0.0,1.0,9.385133662349347,1,0.1,0.1773008334387962,0
92261.0,user87@upi,user314@upi,Chennai,2026-04-14T09:42:38.743931Z,9,0.0,0.0,1.0,11.432387634743748,2,0.1,0.6338682991758215,0
6297.0,user357@upi,user243@upi,Bangalore,2026-04-17T21:42:38.700168Z,21,0.0,0.0,1.0,8.74798740166097,1,0.1,-0.2255156029478092,0
5586.0,user38@upi,user160@upi,Delhi,2026-03-27T21:42:38.762890Z,21,0.0,0.0,1.0,8.628197749459149,0,0.1,-0.35074549692439305,0
2585.0,user337@upi,user247@upi,Chennai,2026-04-09T21:42:38.689577Z,21,0.0,0.0,1.0,7.857867559331803,0,0.1,0.025170991331786796,0
9939.0,user383@upi,user478@upi,Mumbai,2026-04-13T10:42:38.699114Z,10,0.0,0.0,1.0,9.20432229965062,0,0.1,0.46336035516983576,0
5792.0,user195@upi,user400@upi,Pune,2026-04-15T17:42:38.718730Z,17,0.0,0.0,1.0,8.664405571096625,0,0.1,0.2221131960162004,0
3341.0,user313@upi,user339@upi,Mumbai,2026-04-12T09:42:38.741590Z,9,0.0,0.0,1.0,8.114324709155339,2,0.1,0.5928328445746551,0
11709.0,user131@upi,user211@upi,Delhi,2026-04-17T12:42:38.751864Z,12,0.0,0.0,1.0,9.368198456591763,0,0.1,0.571426155101814,0
5431.0,user315@upi,user19@upi,Ahmedabad,2026-04-12T19:42:38.787886Z,19,0.0,0.0,1.0,8.600062669238532,0,0.1,0.7916294231009355,0
4971.0,user431@upi,user128@upi,Kolkata,2026-04-24T12:42:38.694411Z,12,0.0,0.0,1.0,8.511577452630602,2,0.1,-0.42840758840373544,0
5042.0,user495@upi,user398@upi,Delhi,2026-04-05T08:42:38.707108Z,8,0.0,0.0,1.0,8.525756422076725,0,0.1,-0.21519212623999423,0
11139.0,user10@upi,user455@upi,Pune,2026-04-25T17:42:38.712575Z,17,0.0,0.0,1.0,9.318297513481275,2,0.1,0.6419025385585442,0
4917.0,user495@upi,user443@upi,Delhi,2026-04-15T18:42:38.760702Z,18,0.0,0.0,1.0,8.500657222776137,2,0.1,0.321326494076162,0
9763.0,user156@upi,user463@upi,Ahmedabad,2026-04-12T17:42:38.774305Z,17,0.0,0.0,1.0,9.186457431512851,0,0.1,0.774373082490919,0
13508.0,user220@upi,user36@upi,Delhi,2026-04-25T22:42:38.760433Z,22,0.0,0.0,1.0,9.51111140896968,7,0.1,0.913619143830056,0
5541.0,user290@upi,user447@upi,Bangalore,2026-04-04T10:42:38.692900Z,10,0.0,0.0,1.0,8.620110725422924,0,0.1,-0.231699852990097,0
2997.0,user449@upi,user233@upi,Mumbai,2026-04-02T10:42:38.697746Z,10,0.0,0.0,1.0,8.005700678662542,0,0.1,0.12793840389746558,0
114737.0,fraud447@ibl,victim56@upi,Foreign,2026-04-20T04:42:38.806567Z,4,1.0,0.0,0.0,11.650406547291029,14,1.0,3.4460554000303016,1
7372.0,user374@upi,user79@upi,Kolkata,2026-03-27T14:42:38.734281Z,14,0.0,0.0,1.0,8.90557995798965,2,0.1,-0.4255590729781072,0
8835.0,user117@upi,user195@upi,Mumbai,2026-03-28T16:42:38.771170Z,16,0.0,0.0,1.0,9.086589564540008,2,0.1,0.7334396488128865,0
7720.0,user481@upi,user50@upi,Bangalore,2026-04-23T22:42:38.728350Z,22,0.0,0.0,1.0,8.951699168308815,1,0.1,0.10942992301274845,0
1693.0,user260@upi,user120@upi,Hyderabad,2026-04-04T22:42:38.781616Z,22,0.0,0.0,1.0,7.434847875211999,2,0.1,0.44411452290775766,0
2772.0,user221@upi,user394@upi,Bangalore,2026-04-02T19:42:38.720059Z,19,0.0,0.0,1.0,7.927685045615778,1,0.1,0.19745995918580217,0
100925.0,fraud23@ybl,victim56@ibl,Unknown,2026-04-24T01:42:38.796955Z,1,1.0,0.0,0.0,11.522142854019837,14,1.0,3.5178231560363518,1
